model,accuracy,precision,recall,f1_score,balanced_accuracy,mcc,specificity,npv,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37000,0,0,45332
Logistic Regression,0.9999878540543167,0.9999779410142722,1.0,0.9999889703854851,0.9999864864864865,0.9999754569905372,0.9999729729729729,1.0,2.7027027027027027e-05,0.0,1.0,1.0,36999,1,0,45332
Deep Learning,0.9999028324345334,0.9998897075043014,0.9999338215829877,0.9999117640570887,0.9998993432239263,0.9998036542316956,0.9998648648648648,0.9999189145359209,0.00013513513513513514,6.617841701226507e-05,0.9999999844987492,0.9999999873498894,36995,5,3,45329
SVM,0.994752951464801,0.9912257669248611,0.9993161563575399,0.9952545202891228,0.994239159259851,0.9894284356767676,0.9891621621621621,0.9991536991536991,0.010837837837837839,0.0006838436424600724,0.9999787567281391,0.9999827616707174,36599,401,31,45301
KNN,0.991740756935335,0.9867445713787389,0.9984117179917057,0.9925438596491228,0.9909896427796366,0.9833736633633724,0.9835675675675676,0.998025449758666,0.016432432432432434,0.0015882820082943616,0.9977344960662595,0.9965389950723289,36392,608,72,45260
